store_sid,store_master_code,store_last_code,store_last_name,channel_sid,customer_sid,country,region,province,city,store_type,short_name,space,b1_wh,store_branch_type,ship_to_type,b1_code,store_id,replenishment_arrival_date,location_id,open_date,last_dis_manager,status,hdetl_date,update_date,process_log_id,area,cluster,close_date,sit_code,comp_keep,source_sys,sap_customer_code,store_local_name,address1,address2,phone1,zip,phone2,store_no,subchannel
1947,TWN_1770,DSBH_TWN_1770,Taoyuan Far Eastern DS,2,22,Taiwan,APAC,Taiwan,Taoyuan,BH,1770,94.5000,,,,,,,,2020-04-16 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,94.5000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
362,EC-TW,EC-TW,EC-TW,2,0,Taiwan,,,,EC-TW,EC-TW,0.0000,,,,,,,,2021-04-07 00:00:00,,open,2025-02-17 05:34:19,2025-02-17 05:35:13.173347,-1,0.0000,,9999-12-31 00:00:00,,,EC_UBH : TableName:UBH_DIM_STORE_EC,,,,,,,,,
3769,TWN_MOMO,TWN_MOMO,MOMO,2,0,Taiwan,,,,EC-TW,MOMO,0.0000,,,,,,,,2019-01-02 00:00:00,,open,2025-02-17 05:34:19,2025-02-17 05:35:13.173347,-1,0.0000,,9999-12-31 00:00:00,,,EC_UBH : TableName:UBH_DIM_STORE_EC,,,,,,,,,
3768,TWN_PCHOME,TWN_PCHOME,PCHOME,2,0,Taiwan,,,,EC-TW,PCHOME,0.0000,,,,,,,,2019-04-19 00:00:00,,open,2025-02-17 05:34:19,2025-02-17 05:35:13.173347,-1,0.0000,,9999-12-31 00:00:00,,,EC_UBH : TableName:UBH_DIM_STORE_EC,,,,,,,,,
1949,TWN_1447,DSBH_TWN_1447,"Taipei FE��21 Xin-Yi A13 DS ",2,22,Taiwan,APAC,Taiwan,Taipei,BH,1447,137.5000,,,,,,,,2019-12-25 00:00:00,Judith chen,close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,137.5000,C,2022-09-30 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
3042,TWN_1958,DSBH_TWN_1958,Hsinchu Zhubei Far Eastern DS,2,22,Taiwan,,Taiwan,Hsinchu,BH,1958,124.1000,,,,,,,,2022-01-14 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,124.1000,,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,,,,,,,,,
3770,TWN_SHOPEE,TWN_SHOPEE,SHOPEE,2,0,Taiwan,,,,EC-TW,SHOPEE,0.0000,,,,,,,,2019-08-25 00:00:00,,open,2025-02-17 05:34:19,2025-02-17 05:35:13.173347,-1,0.0000,,9999-12-31 00:00:00,,,EC_UBH : TableName:UBH_DIM_STORE_EC,,,,,,,,,
56,TWN_0228,DSBH_TWN_0228,Taichung  Xitun Fengchia SF,2,22,Taiwan,APAC,Taiwan,Taichung,BH,0228,389.5000,,,,,,,,2015-02-14 00:00:00,Judith chen,Close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,389.5000,C,2024-02-29 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
124,TWN_0399,DSFH_TWN_0399,New Taipei Linkou Mitsui FH,2,22,Taiwan,APAC,Taiwan,Taipei,FH,0399,218.9000,,,,,,,,2016-01-27 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,218.9000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
203,TWN_0633,DSFH_TWN_0633,Taichung Houli Lihbao FH,2,22,Taiwan,APAC,Taiwan,Taichung,FH,0633,303.6000,,,,,,,,2016-12-29 00:00:00,Judith chen,Open,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,303.6000,C,9999-12-31 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
323,TWN_0978,DSBH_TWN_0978,Taipei Shilin Chungcheng SF,2,22,Taiwan,APAC,Taiwan,Taipei,BH,0978,379.0000,,,,,,,,2017-10-16 00:00:00,Judith chen,Close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,379.0000,C,2023-08-24 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
582,TWN_0887,DSFH_TWN_0887,Taoyuan Neili FH,2,22,Taiwan,APAC,Taiwan,Taoyuan,FH,0887,661.3000,,,,,,,,2018-09-07 00:00:00,Judith chen,close,2025-02-17 13:33:26.109554,2025-02-17 05:35:13.173347,-1,661.3000,C,2022-04-18 00:00:00,,,Data_Collect_TW : store_20250217.csv,0013163268,,,,,,,,
3771,TWN_YAHOO,TWN_YAHOO,YAHOO,2,0,Taiwan,,,,EC-TW,YAHOO,0.0000,,,,,,,,2019-04-26 00:00:00,,open,2025-02-17 05:34:19,2025-02-17 05:35:13.173347,-1,0.0000,,9999-12-31 00:00:00,,,EC_UBH : TableName:UBH_DIM_STORE_EC,,,,,,,,,
